time,rpm,voltage
5959128,170,10.82
5959896,170,10.25
5960664,170,10.25
5961424,170,10.25
5962192,170,10.25
5962960,170,10.25
5963720,170,10.25
5964488,170,10.67
5965248,170,10.25
5966016,170,10.25
5966784,170,10.25
5967544,170,10.28
5968312,170,10.25
5969080,175,10.33
5969880,175,10.35
5970608,175,10.25
5971368,175,10.25
5972136,175,10.25
5972904,175,10.25
5973664,175,10.28
5974424,175,10.84
5975200,175,10.25
5975960,175,10.25
5976728,175,10.25
5977488,175,10.25
5978264,175,10.25
5979024,175,10.25
5979784,175,10.64
5980552,175,10.25
5981320,175,10.25
5982080,175,10.25
5982848,175,10.25
5983608,175,10.25
5984384,175,10.38
5985144,175,10.33
5985904,175,10.25
5986672,175,10.25
5987440,175,10.25
5988200,175,10.25
5988968,175,10.25
5989728,175,10.86
5990496,175,10.25
5991264,175,10.25
5992024,175,10.25
5992792,175,10.25
5993560,175,10.25
5994320,175,10.25
5995128,175,10.57
5995848,175,10.25
5996616,175,10.25
5997384,170,10.25
5998144,170,10.28
5998912,170,10.25
5999680,170,10.6
6000440,170,10.3
6001208,170,10.28
6001968,170,10.25
6002736,170,10.25
6003504,170,10.25
6004264,170,10.25
6005032,170,10.84
6005800,170,10.25
6006560,170,10.25
6007328,170,10.25
6008088,170,10.25
6008856,170,10.25
6009624,170,10.25
6010384,170,10.55
6011152,170,10.28
6011920,170,10.25
6012680,170,10.25
6013448,170,10.25
6014208,170,10.25
6014980,170,10.69
6015744,170,10.25
6016504,170,10.25
6017272,170,10.25
6018040,170,10.25
6018800,170,10.25
6019568,170,10.25
6020376,170,10.79
6021096,170,10.25
6021864,170,10.25
6022624,170,10.25
6023392,170,10.25
6024160,170,10.25
6024920,170,10.25
6025688,170,10.45
6026448,170,10.28
6027216,170,10.25
6027984,170,10.25
6028744,170,10.28
6029512,170,10.25
6030280,170,10.72
6031040,170,10.28
6031808,170,10.25
6032568,170,10.25
6033336,170,10.25
6034104,170,10.28
6034864,170,10.25
6035632,170,10.77
6036400,170,10.25
6037160,170,10.25
6037928,170,10.25
6038688,170,10.25
6039456,170,10.25
6040224,170,10.28
6040984,170,10.42
6041752,170,10.28
6042520,170,10.25
6043280,170,10.25
6044048,170,10.28
6044816,170,10.28
6045616,170,10.77
6046344,170,10.25
6047104,170,10.28
6047880,170,10.25
6048640,170,10.25
6049400,170,10.28
6050168,170,10.25
6050936,170,10.77
6051696,170,10.25
6052464,170,10.25
6053224,170,10.25
6053992,170,10.25
6054760,170,10.25
6055520,170,10.28
6056288,170,10.38
6057048,170,10.28
6057816,170,10.25
6058584,170,10.25
6059344,170,10.28
6060112,170,10.25
6060880,170,10.74
